model,generation,support_bmp,support_jpg,support_gif,main_res,main_size,main_colours,main_name,secondary_res,secondary_size,secondary_colours,secondary_name
X1C Gen 2,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
Yoga 11e Gen 1,40,,,,,,,,,,,
S3 yoga 14,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
S5 yoga 15,40,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T450,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T450s,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
T550,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
W550s,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E450,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E450c,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E455,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E550,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E550c,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
E555,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
L450,50,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
X250,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
X1C Gen 3,50,true,true,true,640x480,30kb,unlimited,logo1.(extension),1366x768 or 1920x432,30kb,unlimited,logo2.(extension)
11e yoga Gen 2,50,,,,,,,,,,,
Yoga 260,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T460,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T460p,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
T460s,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T560,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P50s,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P50 ,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P70,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P40 yoga,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
Thinkpad S3,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
Yoga 460,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
Yoga 14 (20FY),60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E460,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E465,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E560,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E565,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L460,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L560,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
11e yoga Gen 3,60,,,,,,,,,,,
X1 yoga Gen 1,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1C Gen 4,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Tablet Gen 1,60,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X260,60,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
T470,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
Thinkpad 25,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T470p,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
T470s,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T570,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P51s,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
A475,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P51,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P71,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E470,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E470c,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E475,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E570,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E575,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E570c,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
E570p,70,,,,,,,,,,,
Thinkpad 13 / S2,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L470,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L570,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
11e Yoga Gen 4,70,,,,,,,,,,,
Yoga 370,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
Yoga S1 Gen 3,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Yoga Gen 2,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X270,70,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
X1 Tablet Gen 2,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1C Gen 5,70,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T480,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T480s,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T580,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P52s,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
A485,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P52,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P72,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E480,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E485,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E580,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E585,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L380,80,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L380 yoga,80,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
Thinkpad S2,80,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
Thinkpad S2 Yoga,80,true,true,true,falsene given,60kb,unlimited,logo.(extension),,,,
L480,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L580,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
R480,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
R580,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X380 Yoga,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
Yoga S1 Gen 4,,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
11e Yoga Gen 5,80,,,,,,,,,,,
X1 Yoga Gen 3,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X280,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Tablet Gen 3,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1C Gen 6,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Extreme Gen 1,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P1 Gen 1,80,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T490,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T490s,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T495,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T495s,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T590,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P43s,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P53s,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X390,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P53,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P73,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E490,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E490s,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E495,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E590,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E595,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L390,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
Thinkpad S2 Yoga Gen 4,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L390 yoga,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
Thinkpad S2 Gen 4,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L490,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L590,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
R490,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
R590,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
ThinkPad S3,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X390 yoga,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Yoga Gen 4,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X395,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1C Gen 7,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Extreme Gen 2,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P1 Gen 2,90,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T14,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T14s,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T15,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T15p,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
T15g,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P15,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P17,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P14s,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
